stock_id,name,sector,risk_profile
ELPI,Pelayaran Nasional Ekalya Purn,Transportation and Logistic,Sedang
ELSA,Elnusa Tbk.,Energy,Sedang
ELTY,Bakrieland Development Tbk.,Properties and Real Estate,Sedang
EMDE,Megapolitan Developments Tbk.,Properties and Real Estate,Sedang
EMTK,Elang Mahkota Teknologi Tbk.,Technology,Sedang
ENAK,Champ Resto Indonesia Tbk.,Consumer Cyclicals,Sedang
ENRG,Energi Mega Persada Tbk.,Energy,Sedang
ENVY,Envy Technologies Indonesia Tb,Technology,Sedang
ENZO,Morenzo Abadi Perkasa Tbk.,Consumer Non-Cyclicals,Sedang
EPAC,Megalestari Epack Sentosaraya ,Basic Materials,Tinggi
EPMT,Enseval Putera Megatrading Tbk,Consumer Non-Cyclicals,Sedang
ERAA,Erajaya Swasembada Tbk.,Consumer Cyclicals,Sedang
ERAL,Sinar Eka Selaras Tbk.,Consumer Cyclicals,Sedang
ERTX,Eratex Djaja Tbk.,Consumer Cyclicals,Tinggi
ESIP,Sinergi Inti Plastindo Tbk.,Basic Materials,Tinggi
ESSA,ESSA Industries Indonesia Tbk.,Basic Materials,Sedang
ESTA,Esta Multi Usaha Tbk.,Consumer Cyclicals,Tinggi
ESTI,Ever Shine Tex Tbk.,Consumer Cyclicals,Sedang
ETWA,Eterindo Wahanatama Tbk,Basic Materials,Tinggi
EURO,Estee Gold Feet Tbk.,Consumer Non-Cyclicals,Tinggi
EXCL,XL Axiata Tbk.,Infrastructures,Sedang
FAPA,FAP Agri Tbk.,Consumer Non-Cyclicals,Rendah
FAST,Fast Food Indonesia Tbk.,Consumer Cyclicals,Sedang
FASW,Fajar Surya Wisesa Tbk.,Basic Materials,Sedang
FILM,MD Entertainment Tbk.,Consumer Cyclicals,Tinggi
FIMP,Fimperkasa Utama Tbk.,Infrastructures,Sedang
FIRE,Alfa Energi Investama Tbk.,Energy,Tinggi
FISH,FKS Multi Agro Tbk.,Consumer Non-Cyclicals,Sedang
FITT,Hotel Fitra International Tbk.,Consumer Cyclicals,Tinggi
FLMC,Falmaco Nonwoven Industri Tbk.,Consumer Non-Cyclicals,Tinggi
FMII,Fortune Mate Indonesia Tbk,Properties and Real Estate,Tinggi
FOLK,Multi Garam Utama Tbk.,Industrials,Tinggi
FOOD,Sentra Food Indonesia Tbk.,Consumer Non-Cyclicals,Tinggi
FORU,Fortune Indonesia Tbk,Consumer Cyclicals,Tinggi
FORZ,Forza Land Indonesia Tbk.,Properties and Real Estate,Sedang
FPNI,Lotte Chemical Titan Tbk.,Basic Materials,Tinggi
FREN,Smartfren Telecom Tbk.,Infrastructures,Sedang
FUJI,Fuji Finance Indonesia Tbk.,Financials,Tinggi
FUTR,Lini Imaji Kreasi Ekosistem Tb,Consumer Cyclicals,Tinggi
FWCT,Wijaya Cahaya Timber Tbk.,Basic Materials,Tinggi
GAMA,Aksara Global Development Tbk.,Properties and Real Estate,Sedang
GDST,Gunawan Dianjaya Steel Tbk.,Basic Materials,Tinggi
GDYR,Goodyear Indonesia Tbk.,Consumer Cyclicals,Sedang
GEMA,Gema Grahasarana Tbk.,Consumer Cyclicals,Sedang
GEMS,Golden Energy Mines Tbk.,Energy,Sedang
