stock_id,name,sector ,sub_sector 
MYOH ,Samindo Resources Tbk. ,Mining ,Coal Mining 
MYOR ,Mayora Indah Tbk. ,Consumer Goods Industry ,Food And Beverages 
MYRX ,Hanson International Tbk. ,"Trade, Services & Investment ",Investment Company 
MYRXP ,Hanson International (Seri B) Tbk. ,"Trade, Services & Investment ",Investment Company 
MYTX ,Apac Citra Centertex Tbk. ,Miscellaneous Industry ,"Textile, Garment "
NAGA ,Bank Mitraniaga Tbk. ,Finance ,Bank 
NELY ,Pelayaran Nelly Dwi Putri Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
NIKL ,Pelat Timah Nusantara Tbk. ,Basic Industry and Chemicals ,Metal And Allied Products 
NIPS ,Nipress Tbk. ,Miscellaneous Industry ,Automotive And Components 
NIRO ,Nirvana Development Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
NISP ,Bank OCBC NISP Tbk. ,Finance ,Bank 
NOBU ,Bank Nationalnobu Tbk. ,Finance ,Bank 
NRCA ,Nusa Raya Cipta Tbk. ,"Property, Real Estate And Building Construction ",Building Construction 
OCAP ,Onix Capital Tbk. ,Finance ,Securities Company 
OKAS ,Ancora Indonesia Resources Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
OMRE ,Indonesia Prima Property Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
OTMA ,PT Oto Multiartha ,Finance ,Financial Institution 
PADI ,Minna Padi Investama Tbk. ,Finance ,Securities Company 
PALM ,Provident Agro Tbk. ,Agriculture ,Plantation 
PANR ,Panorama Sentrawisata Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
PANS ,Panin Sekuritas Tbk. ,Finance ,Securities Company 
PBRX ,Pan Brothers Tbk. ,Miscellaneous Industry ,"Textile, Garment "
PDES ,Destinasi Tirta Nusantara Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
PEGE ,Panca Global Securities Tbk. ,Finance ,Securities Company 
PGAS ,Perusahaan Gas Negara (Persero) Tbk. ,"Infrastructure, Utilities And Transportation ",Energy 
PGLI ,Pembangunan Graha Lestari Indah Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
PICO ,Pelangi Indah Canindo Tbk. ,Basic Industry and Chemicals ,Metal And Allied Products 
PJAA ,Pembangunan Jaya Ancol Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
PKPK ,Perdana Karya Perkasa Tbk. ,Mining ,Coal Mining 
PLAS ,Polaris Investama Tbk. ,"Trade, Services & Investment ",Investment Company 
PLIN ,Plaza Indonesia Realty Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
PNBN ,Bank Pan Indonesia Tbk. ,Finance ,Bank 
PNBS ,Bank Panin Syariah Tbk. ,Finance ,Bank 
PNIN ,Panin Insurance Tbk. ,Finance ,Insurance 
PNLF ,Panin Financial Tbk. ,Finance ,Others 
PNMP ,PT Permodalan Nasional Madani (Persero) ,Finance ,Financial Institution 
PNSE ,Pudjiadi & Sons Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
POLY ,Asia Pacific Fibers Tbk. ,Miscellaneous Industry ,"Textile, Garment "
POOL ,Pool Advista Indonesia Tbk. ,"Trade, Services & Investment ",Investment Company 
PPGD ,PT Pegadaian (Persero) ,Finance ,Financial Institution 
PPKT ,PT Pupuk Kalimantan Timur ,Basic Industry And Chemicals ,Chemicals 
PPLN ,PT Perusahaan Listrik Negara (Persero) ,"Infrastructure, Utilities & Transportation ",Energy 
PPNX ,PT Perkebunan Nusantara X (Persero) ,Agriculture ,Plantation 
PRAS ,Prima Alloy Steel Universal Tbk. ,Miscellaneous Industry ,Automotive And Components 
PSAB ,J Resources Asia Pasifik Tbk. ,Mining ,Metal And Mineral Mining 
PSDN ,Prasidha Aneka Niaga Tbk. ,Consumer Goods Industry ,Food And Beverages 
PSKT ,Pusako Tarinka Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
PTBA ,Tambang Batubara Bukit Asam (Persero) Tbk. ,Mining ,Coal Mining 
PTHK ,PT Hutama Karya (Persero) ,"Property, Real Estate And Building Construction ",Property And Real Estate 
PTIS ,Indo Straits Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
PTPP ,PP (Persero) Tbk. ,"Property, Real Estate And Building Construction ",Building Construction 
PTRO ,Petrosea Tbk. ,Mining ,Coal Mining 
PTSN ,Sat Nusapersada Tbk. ,Miscellaneous Industry ,Electronics 
PTSP ,Pioneerindo Gourmet International Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
PUDP ,Pudjiadi Prestige Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
PWON ,Pakuwon Jati Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
PYFA ,Pyridam Farma Tbk. ,Consumer Goods Industry ,Pharmaceuticals 
RAJA ,Rukun Raharja Tbk. ,"Infrastructure, Utilities And Transportation ",Energy 
RALS ,Ramayana Lestari Sentosa Tbk. ,"Trade, Services & Investment ",Retail Trade 
RANC ,Supra Boga Lestari Tbk. ,"Trade, Services & Investment ",Retail Trade 
RBMS ,Ristia Bintang Mahkotasejati Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
RDTX ,Roda Vivatex Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
RELI ,Reliance Securities Tbk. ,Finance ,Securities Company 
RICY ,Ricky Putra Globalindo Tbk. ,Miscellaneous Industry ,"Textile, Garment "
